title,author,genre
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy
Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy
The Hobbit,J.R.R. Tolkien,Fantasy
The Lord of the Rings, J.R.R. Tolkien, Fantasy
The Fellowship of the Ring,J.R.R. Tolkien,Fantasy
A Game of Thrones,George R.R. Martin,Fantasy
Pride and Prejudice,Jane Austen,Romance
Emma,Jane Austen,Romance
The Fault in Our Stars,John Green,Romance
To Kill a Mockingbird,Harper Lee,Classic
Pride and Prejudice, Jane Austen, Romance
1984,George Orwell,Dystopian
Animal Farm,George Orwell,Dystopian
